Store,WeekStart,Forecast_Demand,Simulated_Inventory,Inventory_Coverage_Ratio,Risk_Level,Recommended_Replenishment,Recommendation
909,2015-07-20,62056.81625114427,48662.200000000004,0.7841556002980207,HIGH,97173.19586064602,EXPEDITE REPLENISHMENT
971,2015-05-18,64464.42573056119,36981.6,0.5736745434539382,HIGH,84883.868573919,EXPEDITE REPLENISHMENT
909,2015-07-13,68381.79693421828,56360.200000000004,0.8241988734840827,MEDIUM,82015.22624671803,MONITOR INVENTORY
909,2015-06-29,95299.97693780146,65870.0,0.6911858965400459,MEDIUM,75413.38350568744,MONITOR INVENTORY
971,2015-05-25,51439.327702739596,43022.0,0.8363639635536819,MEDIUM,74560.07681106968,MONITOR INVENTORY
817,2015-06-22,136986.72033159432,99785.0,0.7284282721599388,MEDIUM,71621.20792911132,MONITOR INVENTORY
817,2015-06-08,129452.08617274769,95374.20000000001,0.7367529007815884,MEDIUM,71602.18874535558,MONITOR INVENTORY
262,2015-04-20,142990.12077145342,123631.40000000001,0.8646149771256212,LOW,71074.15838915734,NO ACTION
971,2015-06-08,55733.54330157988,39156.8,0.7025715158305758,HIGH,67648.68213289898,EXPEDITE REPLENISHMENT
261,2015-07-06,88338.27286668653,56591.0,0.6406170073689677,MEDIUM,66997.2726442131,MONITOR INVENTORY
